pen name;pen down?;mode;interval;color;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
default;true;1;1000;65;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;323.013.698.630.137;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;3.254.054.054.054.050;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;3.278.378.378.378.370;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;3.189.855.072.463.760;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;3.162.686.567.164.170;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;3.431.666.666.666.660;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;34.125;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;3.251.851.851.851.850;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;34.14;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;34.857.142.857.142.800;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;3.655.813.953.488.370;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;3.544.186.046.511.620;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;34.523.809.523.809.500;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;35.5;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;3.713.157.894.736.840;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;3.545.945.945.945.940;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;3.590.909.090.909.090;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;3.721.875;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;36.029.411.764.705.800;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;3.451.428.571.428.570;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;3.332.258.064.516.120;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;33.75;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;35.2;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;3.426.923.076.923.070;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;3.530.769.230.769.230;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;35.5;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;36.25;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;3.572.222.222.222.220;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;351.875;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;360.625;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;3.572.222.222.222.220;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;35.5;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;3.407.142.857.142.850;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;3.346.153.846.153.840;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;40.625;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;34.625;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;37.625;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;42.25;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;4.022.222.222.222.220;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;3.644.444.444.444.440;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
